ID problema,Descrizione,Stato,Gravità,Punti della storia,Percorso progetto,Tipologia di posizione,PERCORSO,Riga,Colonna,ID evento imprevisto,Collegamento alla Guida,Nome dell'assembly,Versione assembly,Chiave pubblica dell'assembly,Frammento
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,Concordia.Core\Concordia.Core.csproj,File,Concordia.Core\Concordia.Core.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.8,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.8  Raccomandazione:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,Concordia.Core\Concordia.Core.csproj,File,Concordia.Core\Concordia.Core.csproj,,,Microsoft.Extensions.Logging.Abstractions 9.0.8,,,,,"Microsoft.Extensions.Logging.Abstractions, 9.0.8  Raccomandazione:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.1"
Project.0002,È necessario modificare i framework di destinazione del progetto,Active,Mandatory,1,Concordia.Core\Concordia.Core.csproj,File,Concordia.Core\Concordia.Core.csproj,,,,,,,,Framework di destinazione corrente: net9.0;net8.0;netstandard2.0 Framework di destinazione consigliato: net9.0;net8.0;netstandard2.0;net10.0
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,tests\Concordia.Core.Tests\Concordia.Core.Tests.csproj,File,tests\Concordia.Core.Tests\Concordia.Core.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.8,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.8  Raccomandazione:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.1"
Project.0002,È necessario modificare i framework di destinazione del progetto,Active,Mandatory,1,tests\Concordia.Core.Tests\Concordia.Core.Tests.csproj,File,tests\Concordia.Core.Tests\Concordia.Core.Tests.csproj,,,,,,,,Framework di destinazione corrente: net9.0 Framework di destinazione consigliato: net10.0
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,File,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.8,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.8  Raccomandazione:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.1"
Project.0002,È necessario modificare i framework di destinazione del progetto,Active,Mandatory,1,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,File,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,,,,,,,,Framework di destinazione corrente: net9.0 Framework di destinazione consigliato: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,File,examples\Concordia.Examples.Web\Program.cs,13,4,T:System.Uri,,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""v1"",          Title = ""Concordia API"", // You can change your API title here          Description = ""An example API using Concordia.MediatR"",          Contact = new OpenApiContact          {              Name = ""Your Name/Company"",              Url = new Uri(""https://example.com/contact"") // Replace with your URL          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,File,examples\Concordia.Examples.Web\Program.cs,13,4,M:System.Uri.#ctor(System.String),,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""v1"",          Title = ""Concordia API"", // You can change your API title here          Description = ""An example API using Concordia.MediatR"",          Contact = new OpenApiContact          {              Name = ""Your Name/Company"",              Url = new Uri(""https://example.com/contact"") // Replace with your URL          }      });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,examples\Concordia.Examples.Web\Concordia.Examples.Web.csproj,File,examples\Concordia.Examples.Web\Program.cs,13,4,T:System.Uri,,,,,"options.SwaggerDoc(""v1"", new OpenApiInfo      {          Version = ""v1"",          Title = ""Concordia API"", // You can change your API title here          Description = ""An example API using Concordia.MediatR"",          Contact = new OpenApiContact          {              Name = ""Your Name/Company"",              Url = new Uri(""https://example.com/contact"") // Replace with your URL          }      });"
NuGet.0002,È consigliabile eseguire l'aggiornamento del pacchetto NuGet,Active,Potential,1,Concordia.MediatR\Concordia.MediatR.csproj,File,Concordia.MediatR\Concordia.MediatR.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.8,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.8  Raccomandazione:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
Project.0002,È necessario modificare i framework di destinazione del progetto,Active,Mandatory,1,Concordia.MediatR\Concordia.MediatR.csproj,File,Concordia.MediatR\Concordia.MediatR.csproj,,,,,,,,Framework di destinazione corrente: net9.0;net8.0;netstandard2.0 Framework di destinazione consigliato: net9.0;net8.0;netstandard2.0;net10.0
